Name,Landcover,Latitude,Longitude,Climate
US-LWW,GRA,34.9604,-97.9789,C
US-Me1,ENF,44.5794,-121.5,C
US-Me2,ENF,44.4523,-121.5574,C
US-Me3,ENF,44.3154,-121.6078,C
US-Me4,ENF,44.4992,-121.6224,C
US-Me5,ENF,44.43719,-121.56676,C
US-Me6,ENF,44.3232842,-121.6078,C
US-MMS,DBF,39.3232,-86.4131,D
US-Myb,WET,38.049861,-121.76498,C
US-Ne1,CRO,41.16506,-96.47664,D
US-Ne2,CRO,41.16487,-96.4701,D
US-Ne3,CRO,41.17967,-96.43965,D
US-NR1,ENF,40.0329,-105.5464,D
US-Oho,DBF,41.5545,-83.8438,D
US-ORv,WET,40.0201,-83.0183,D
US-PFa,MF,45.9459,-90.2723,D
US-Prr,ENF,65.12367,-147.48756,D
US-SRC,MF,31.9083,-110.8395,B
US-SRG,GRA,31.789379,-110.827675,B
US-SRM,WSA,31.8214,-110.8661,B
US-Sta,OSH,41.3966,-106.8024,D
US-Syv,MF,46.242,-89.3477,D
US-Ton,WSA,38.4316,-120.96598,C
US-Tw1,WET,38.1074,-121.6469,C
US-Tw2,CRO,38.1047,-121.6433,C
US-Tw3,CRO,38.1159,-121.6467,C
US-Tw4,WET,38.10298,-121.6414,C
US-Twt,CRO,38.1087204,-121.6531,C
US-UMB,DBF,45.5598,-84.7138,D
US-UMd,DBF,45.5625,-84.6975,D
US-Var,GRA,38.4133,-120.9507,C
US-WCr,DBF,45.8059,-90.0799,D
US-Whs,OSH,31.7438,-110.0522,B
US-Wi0,ENF,46.618778,-91.081444,D
US-Wi1,DBF,46.730472,-91.232944,D
US-Wi2,ENF,46.686889,-91.152833,D
US-Wi3,DBF,46.634722,-91.098667,D
US-Wi4,ENF,46.739333,-91.16625,D
US-Wi5,ENF,46.653083,-91.085806,D
US-Wi6,OSH,46.624889,-91.298222,D
US-Wi7,OSH,46.649111,-91.069278,D
US-Wi8,DBF,46.722333,-91.252417,D
US-Wi9,ENF,46.618778,-91.081444,D
US-Wkg,GRA,31.7365,-109.9419,B
US-WPT,WET,41.464639,-82.996157,D
ZM-Mon,DBF,-15.4391,23.2525,A
